"lex_1";"lex_2";"w1w2";"w1";"w2";"dice";"loglikelihood";"mi3";"tscore";"agr"
"мнение";"высказать";"1873";"83219";"18326";"10.700186554036824";"19615.548917845706";"21.24088251878256";"43.1876913120218";"30.287698450296638"
"мнение";"высказывать";"1092";"83219";"9649";"10.249978927806335";"11661.067611832348";"20.26375741386962";"32.98303276901247";"25.852662818459937"
"мнение";"разделять";"809";"83219";"13313";"9.911316259042934";"7587.669472656691";"19.04196897771901";"28.342913965220564";"23.231549420214936"
"мнение";"придерживаться";"484";"83219";"5550";"9.481439318344691";"4899.693101152764";"18.375770020384866";"21.946096386020006";"20.081743451072747"
"мнение";"выражать";"435";"83219";"23087";"9.194416204885155";"3047.225280832261";"16.630081632709178";"20.620132206596516";"18.517950261110318"
"мнение";"существовать";"712";"83219";"94303";"9.174375268092723";"3703.54596943911";"16.701033959734254";"25.928178360260787";"20.80931011131225"
"мнение";"выразить";"407";"83219";"26326";"9.097869663280221";"2690.5394204469476";"16.299195740317884";"19.89541372733843";"18.007755070427198"
"мнение";"согласиться";"457";"83219";"54998";"8.981250378573323";"2461.3851572450303";"15.910066579740995";"20.82784485773191";"18.203636955263384"
"мнение";"сложиться";"330";"83219";"19272";"8.954709566192994";"2248.3337042631747";"15.981937926062322";"17.939219935351144";"16.932321147697433"
"мнение";"держаться";"385";"83219";"37291";"8.946902498826292";"2237.3826115255456";"15.784291220184526";"19.215327851215264";"17.415519822701366"
"мнение";"разделиться";"249";"83219";"3008";"8.845861444359592";"2492.953203455626";"16.994396511299843";"15.739002775514647";"16.354658475784344"
"мнение";"бытовать";"239";"83219";"1140";"8.826773951928226";"2869.921201768777";"17.84167562138144";"15.443868561280144";"16.599532921429184"
"мнение";"изменить";"293";"83219";"26163";"8.77071816796501";"1749.4000665659978";"15.319484856131558";"16.790653949630038";"16.03820965400761"
"мнение";"являться";"575";"83219";"142343";"8.72116687665513";"2296.8498538484505";"15.64818371244015";"22.710776482768296";"18.851588862865743"
"мнение";"распространить";"228";"83219";"6520";"8.717832073349374";"1879.9642194628034";"15.956475738918074";"15.007405831971054";"15.474666621996862"
"мнение";"считаться";"311";"83219";"40153";"8.70998063240846";"1631.7781867159567";"15.069994807128884";"17.14868924218655";"16.075778607234497"
"мнение";"иметь";"1227";"83219";"410781";"8.695183829100797";"4213.017326089039";"16.862235336358403";"32.52282184269399";"23.41810145408811"
"мнение";"следовать";"479";"83219";"112983";"8.677947758229497";"1956.8984907305116";"15.331177655309201";"20.783024399317316";"17.850160763437387"
"мнение";"обменяться";"207";"83219";"2782";"8.663751770750297";"2026.4969638510795";"16.51829951428817";"14.346178449555016";"15.393975201850106"
"мнение";"расходиться";"220";"83219";"11068";"8.63267612569435";"1564.0767446225245";"15.32013780512572";"14.672953998402058";"14.993054300701706"
"мнение";"подтверждать";"223";"83219";"13847";"8.61717251353896";"1491.8136991563433";"15.136759939701093";"14.73505424825659";"14.934556533567804"
"мнение";"узнать";"411";"83219";"118833";"8.495460026058584";"1520.4279086456734";"14.8213737253488";"19.020675316526322";"16.790251260024483"
"мнение";"составить";"250";"83219";"41786";"8.478499082937732";"1186.05640247858";"14.375134626379994";"15.246700537431375";"14.80450515328615"
"мнение";"прислушиваться";"192";"83219";"13457";"8.47152209222986";"1238.1548037200382";"14.716299927317255";"13.648893503418297";"14.172551304275304"
"мнение";"выслушать";"190";"83219";"13572";"8.459861958984838";"1218.0976026396195";"14.676376597552789";"13.573663820195176";"14.114255277334383"
"мнение";"опровергать";"165";"83219";"3695";"8.426418251464948";"1442.26504004694";"15.554169095294892";"12.783768687402631";"14.101095696398794"
"мнение";"дорожить";"161";"83219";"4376";"8.394072347874486";"1343.950616885943";"15.311391257827024";"12.614886963540236";"13.897894443836666"
"мнение";"сходиться";"166";"83219";"7765";"8.386696023052208";"1204.230824005549";"14.829650136462293";"12.755322707085845";"13.753434957266355"
"мнение";"переменить";"165";"83219";"8109";"8.376879953624018";"1180.6699373365093";"14.768175093732637";"12.710344704714498";"13.700678673004528"
"мнение";"спрашивать";"303";"83219";"86483";"8.365080749412616";"1127.9110520665995";"14.2245637816904";"16.345304710111616";"15.248109042768128"
"мнение";"совпадать";"163";"83219";"8888";"8.356191157668388";"1132.5186831089875";"14.639861778076273";"12.618395043476987";"13.591598849939098"
"мнение";"обмениваться";"143";"83219";"2775";"8.293959005459929";"1291.7227615617016";"15.411196371574638";"11.908676629949992";"13.547212040480543"
"мнение";"изложить";"156";"83219";"11798";"8.281192085867554";"982.4054797418991";"14.224951224161043";"12.288162300441687";"13.221138731529805"
