"lex_1";"lex_2";"w1w2";"w1";"w2";"dice";"loglikelihood";"mi3";"tscore";"agr"
"обсуждать";"проблема";"497";"20501";"14969";"10.425294658888907";"5444.562673906561";"18.864103932048035";"22.258152888584107";"20.490976292643204"
"обсуждать";"вопрос";"1409";"20501";"82770";"10.398670812485745";"13598.129902819961";"20.280156108489987";"37.42057939745909";"27.548052414837144"
"обсуждать";"план";"240";"20501";"22412";"9.506856014587207";"2079.078428433796";"16.276635490014186";"15.415782469654857";"15.840362118711894"
"обсуждать";"событие";"146";"20501";"8484";"9.402220068494447";"1403.044814056655";"15.756953078113822";"12.046086620079723";"13.777141272683927"
"обсуждать";"тема";"213";"20501";"24767";"9.334083686183538";"1751.5525468145383";"15.81867962490429";"14.50519231614798";"15.147705771725576"
"обсуждать";"новость";"111";"20501";"5826";"9.224327074346629";"1089.2451414881639";"15.310575195091008";"10.50654597009404";"12.68310932365582"
"обсуждать";"проект";"135";"20501";"12198";"9.203322183620395";"1177.6980354806446";"15.158867581132274";"11.563688639175387";"13.239804561650574"
"обсуждать";"положение";"161";"20501";"30060";"8.943615738438247";"1171.7074241825371";"14.78533296031981";"12.56387474982714";"13.629419336418886"
"обсуждать";"подробность";"82";"20501";"8352";"8.829897175158955";"695.4828015595526";"14.041971960343727";"9.006835757531368";"11.246054203972019"
"обсуждать";"вариант";"65";"20501";"5679";"8.694783410991691";"571.1928416255992";"13.730701898482865";"8.025179831596853";"10.497206864179315"
"обсуждать";"ситуация";"72";"20501";"10322";"8.63379685604906";"561.5172341147781";"13.44003606701288";"8.421249274917942";"10.638697945904998"
"обсуждать";"перспектива";"57";"20501";"3972";"8.630872700371494";"526.7145908900889";"13.694199307011974";"7.5221413115414615";"10.14936955361057"
"обсуждать";"возможность";"155";"20501";"47049";"8.615948954090847";"978.9166515456276";"14.223400988628592";"12.250976743703939";"13.2003997942511"
"обсуждать";"дело";"268";"20501";"96318";"8.615753153691191";"1604.9048971825198";"15.149620973998488";"16.061006265567535";"15.598658832872879"
"обсуждать";"деталь";"58";"20501";"5150";"8.60125235491262";"507.7828123981062";"13.486647566654863";"7.580177747771513";"10.110943861815969"
"обсуждать";"предложение";"69";"20501";"15733";"8.429500501621249";"474.506373995078";"12.890874346224741";"8.206925705627954";"10.285642811222436"
"обсуждать";"программа";"63";"20501";"12605";"8.428812093131366";"449.5484703791126";"12.839625868225964";"7.853660394668586";"10.041815630833327"
"обсуждать";"достоинство";"51";"20501";"6856";"8.408245096682496";"404.2256411232337";"12.814667966568749";"7.090894175005105";"9.532442207470595"
"обсуждать";"происшествие";"39";"20501";"1384";"8.363152077064596";"413.39115016941685";"13.61002233088471";"6.23333248328456";"9.210634847464744"
"обсуждать";"кандидатура";"38";"20501";"1636";"8.325727644559855";"387.9411396604195";"13.364819490689852";"6.150444156437812";"9.066398178899908"
"обсуждать";"доклад";"43";"20501";"9766";"8.13653400717702";"295.9896733105961";"11.949008631132468";"6.4790445601070354";"8.798758967616447"
"обсуждать";"лад";"36";"20501";"5222";"8.121525306720002";"279.85369238788235";"12.041991594782642";"5.954187314427256";"8.467601407370003"
"обсуждать";"идея";"50";"20501";"16016";"8.09963700142231";"310.230116764788";"11.906796043402823";"6.951842300989382";"9.098031017961015"
"обсуждать";"результат";"43";"20501";"13208";"8.028827153253307";"270.3370746292076";"11.64709289015411";"6.4514148217536595";"8.668346307219267"
"обсуждать";"приказ";"35";"20501";"9793";"7.929790289962388";"226.47027640844317";"11.328691589420833";"5.828946943744415";"8.126151747092694"
"обсуждать";"итог";"29";"20501";"4818";"7.9211326295390085";"217.59604149444564";"11.473843835457991";"5.338070552161359";"7.826122149452847"
"обсуждать";"будущее";"35";"20501";"11563";"7.873006057604822";"215.00714184820305";"11.162549089012666";"5.813198437090815";"8.05543995807789"
"обсуждать";"политика";"30";"20501";"7471";"7.855385273398343";"201.01581506134423";"11.136878535684051";"5.405426600247872";"7.758838797172947"
"обсуждать";"условие";"37";"20501";"14529";"7.840104977012637";"214.73649849846393";"11.10092233553472";"5.957033665075138";"8.131947372318937"
"обсуждать";"поведение";"27";"20501";"5637";"7.817838573407293";"190.3381511079535";"11.102473838604798";"5.139048454762504";"7.553552212325212"
"обсуждать";"статья";"43";"20501";"21969";"7.797794072946191";"227.44397543689854";"11.138283228024894";"6.3810882274149225";"8.430561545944773"
"обсуждать";"судьба";"35";"20501";"14179";"7.79457681115488";"200.9858930674356";"10.95859743740407";"5.789922678104477";"7.965515163694275"
"обсуждать";"поступок";"25";"20501";"6926";"7.692739796781438";"162.24192739474833";"10.665660278315622";"4.92708571575408";"7.249180809331119"
"обсуждать";"реформа";"21";"20501";"2998";"7.67295647224802";"163.89953181873184";"10.979937163181113";"4.548138948330021";"7.066702191410097"
"обсуждать";"текст";"28";"20501";"11162";"7.662447604998384";"161.6634043033228";"10.52841362785062";"5.180466793844597";"7.38526216128724"
"обсуждать";"действие";"37";"20501";"21977";"7.647323519375978";"184.86237440759803";"10.68707253567985";"5.892581287885962";"7.935643870917285"
"обсуждать";"закон";"32";"20501";"16482";"7.640669456776609";"168.7393786934301";"10.539254081749238";"5.503486143359468";"7.615946349617468"
