"lex_1";"lex_2";"w1w2";"w1";"w2";"dice";"loglikelihood";"mi3";"tscore";"agr"
"обязанность";"исполнять";"2676";"30622";"22759";"11.700015445416929";"34343.72281408539";"23.094344802433366";"51.695477175926435";"34.552469877378805"
"обязанность";"возложить";"603";"30622";"6363";"10.576796673265163";"7421.831832185316";"19.898321836181687";"24.535684990872838";"22.095677324299434"
"обязанность";"выполнять";"823";"30622";"24389";"10.49081493701974";"8385.892076072003";"19.487806601304708";"28.621134070643198";"23.61700924077195"
"обязанность";"вменять";"270";"30622";"1114";"9.926362177364155";"3872.106795621473";"19.230378945740817";"16.42634629877759";"17.773150087124687"
"обязанность";"возлагать";"276";"30622";"4574";"9.844860327511643";"3135.146132217976";"17.883884711801645";"16.591600599097884";"17.225628357146384"
"обязанность";"входить";"584";"30622";"59250";"9.65690644861596";"4500.881665164981";"17.571007378720225";"23.973321448121816";"20.524020270341293"
"обязанность";"вменить";"203";"30622";"800";"9.65108959609419";"2932.20891402971";"18.705831698690357";"14.243392154751099";"16.3228213390094"
"обязанность";"исполнить";"344";"30622";"29114";"9.536098705217807";"2773.027903916323";"16.69377602422851";"18.4238181973797";"17.537476856667897"
"обязанность";"лежать";"830";"30622";"135773";"9.39245312250972";"5615.263565626861";"17.796362939062554";"28.439182363782063";"22.49697782005513"
"обязанность";"налагать";"160";"30622";"2094";"9.372701461938908";"1895.0229231071683";"17.02951554350392";"12.63609470700749";"14.669238944886393"
"обязанность";"нести";"306";"30622";"43443";"9.204033917496174";"2151.0101825965257";"15.942375782093352";"17.297593683506594";"16.60616568110852"
"обязанность";"освободить";"175";"30622";"18318";"9.059582817486795";"1335.506180166071";"15.129543949040531";"13.119884186845876";"14.088927014191201"
"обязанность";"считать";"627";"30622";"146774";"9.047953920503776";"3794.0079542737108";"16.877015843371886";"24.579102761337634";"20.367177190739046"
"обязанность";"справляться";"126";"30622";"6423";"9.009540418660666";"1142.89899747526";"15.192030632829562";"11.179982647530373";"13.03252235201553"
"обязанность";"предусмотреть";"145";"30622";"12128";"9.006756448615613";"1171.3469364538337";"14.977754608612491";"11.962405766776023";"13.385439032897734"
"обязанность";"счесть";"122";"30622";"10444";"8.874232417777758";"979.7936355866105";"14.609105693613671";"10.971017074659123";"12.660045339971552"
"обязанность";"выполнить";"149";"30622";"24755";"8.775173862428694";"1000.1962095399157";"14.345881639273776";"12.047104178904792";"13.146342862049835"
"обязанность";"распределить";"93";"30622";"4065";"8.771626417742713";"872.2751308285933";"14.738454946710778";"9.610508837055518";"11.901430649712182"
"обязанность";"освобождать";"97";"30622";"5767";"8.765836348911652";"849.7691930695433";"14.515051131127658";"9.802819136464423";"11.928471025029896"
"обязанность";"приступить";"108";"30622";"13818";"8.673383163930598";"780.8095911018748";"13.96349180155684";"10.287762569348722";"11.9855366293489"
"обязанность";"состоять";"217";"30622";"68360";"8.570351239696425";"1183.8816909351476";"14.457974412624772";"14.366056019985779";"14.411941935328787"
"обязанность";"относиться";"183";"30622";"63337";"8.452019537511887";"964.593468005913";"14.023058992221664";"13.159628265686957";"13.584485396415863"
