"lex_1";"lex_2";"w1w2";"w1";"w2";"dice";"loglikelihood";"mi3";"tscore";"agr"
"решение";"принять";"10216";"92450";"149341";"11.529028582645877";"97233.45152573427";"24.127019868722904";"100.72350200405589";"49.2966320766359"
"решение";"принимать";"4491";"92450";"90951";"10.983547562295342";"39446.89285644727";"22.157292076607856";"66.69276642733037";"38.44126825596869"
"решение";"вынести";"740";"92450";"18611";"9.681962487861195";"6143.283670096731";"18.334318712133374";"27.040541081681116";"22.265890917276977"
"решение";"найти";"1004";"92450";"180224";"9.08886225939098";"4429.314397482056";"16.97916233640011";"30.33582224417857";"22.69530459130446"
"решение";"изменить";"417";"92450";"26163";"9.042612030678303";"2695.2568605809597";"16.273033423784";"20.116453279823965";"18.09297423284974"
"решение";"требовать";"614";"92450";"83950";"9.03263268615226";"3029.3517231518426";"16.26788435821843";"23.974815146314803";"19.748911876605074"
"решение";"зависеть";"437";"92450";"34423";"9.022138510548391";"2627.634578561132";"16.13919559697332";"20.513668063066824";"18.19544177208183"
"решение";"отменить";"348";"92450";"9290";"9.015173841957663";"2845.466759531779";"16.76578984379823";"18.536547050456214";"17.62894926754362"
"решение";"предлагать";"406";"92450";"48550";"8.842985170801374";"2108.196300943159";"15.574586241368419";"19.577491472766205";"17.46171037820328"
"решение";"выносить";"294";"92450";"11900";"8.821221035393279";"2157.1083876594025";"16.012321859199115";"16.981685833038306";"16.489882330399183"
"решение";"связать";"461";"92450";"75444";"8.795457116686372";"2113.3271379606535";"15.514924427101574";"20.636833357462216";"17.893543806516224"
"решение";"предложить";"409";"92450";"64085";"8.745827430472062";"1909.0797146361997";"15.319056098247172";"19.471559830851202";"17.270955890430205"
"решение";"искать";"418";"92450";"86142";"8.635769459496542";"1731.1644492929609";"15.08856815750121";"19.444912867279978";"17.128803026324583"
"решение";"использовать";"364";"92450";"65408";"8.620849874468497";"1602.7990653175812";"14.948937985069591";"18.264994341205494";"16.523990671273328"
"решение";"поставить";"447";"92450";"101503";"8.62033463452093";"1768.9001066263236";"15.125708386445961";"20.002762230961547";"17.394135460808037"
"решение";"являться";"541";"92450";"142343";"8.620106905521226";"1990.887571140674";"15.360139155894784";"21.806728275547158";"18.301758955007298"
"решение";"направить";"280";"92450";"30015";"8.612356229872093";"1513.4243731254685";"14.940792510104496";"16.307414571485445";"15.609154284868179"
"решение";"объявить";"299";"92450";"44252";"8.56803210076771";"1428.2964287842688";"14.749551109299949";"16.684140201600773";"15.687051304124575"
"решение";"находить";"304";"92450";"53889";"8.51649375495316";"1346.3582250372397";"14.60227768606441";"16.701934937500056";"15.616859218548287"
"решение";"ждать";"454";"92450";"128015";"8.50775014748995";"1611.4196602237596";"14.9402651068709";"19.88112663340747";"17.234538071163364"
"решение";"обжаловать";"191";"92450";"834";"8.502016726294993";"2291.297420755576";"17.376463118063835";"13.805950398443258";"15.488659977814995"
"решение";"состояться";"242";"92450";"33103";"8.441601647553775";"1192.8480954011236";"14.405310223053561";"15.051232546903426";"14.724730017133233"
"решение";"утвердить";"204";"92450";"15212";"8.424515205460093";"1248.2444725869266";"14.67039634876719";"14.030041624781466";"14.346646696188127"
"решение";"прийти";"607";"92450";"228414";"8.422903335295793";"1831.4973552707845";"15.232547558603736";"22.436672349821695";"18.486959691238265"
"решение";"сообщить";"265";"92450";"49825";"8.407359923074843";"1143.5843534886462";"14.268793569160362";"15.552285874544024";"14.896723017913615"
"решение";"ожидать";"294";"92450";"65498";"8.406705803983446";"1173.6530732721221";"14.30684065149272";"16.23968067701627";"15.242654745063184"
"решение";"отложить";"186";"92450";"11067";"8.371402724865609";"1221.3568708849775";"14.71139327115751";"13.445559894829538";"14.064242580521018"
"решение";"повлиять";"170";"92450";"5281";"8.338971532057087";"1337.600457916143";"15.181400794726542";"12.942260473007558";"14.017190996432733"
"решение";"обеспечивать";"190";"92450";"17881";"8.328931035289218";"1075.333826116426";"14.295454477188946";"13.47612229394893";"13.879743973941954"
"решение";"способствовать";"184";"92450";"17197";"8.303061544478304";"1043.8664754805654";"14.238193280125449";"13.263722830117848";"13.742323284991896"
"решение";"привести";"283";"92450";"77681";"8.294270070686165";"1018.2609520026061";"14.02185095300359";"15.726495219452225";"14.84973306090997"
"решение";"выполнять";"184";"92450";"24389";"8.23953074041665";"918.112348491429";"13.888796019150226";"13.137867164416487";"13.50811449363945"
"решение";"признать";"204";"92450";"40997";"8.20980750015389";"854.2328384854459";"13.678982045537712";"13.601508837181898";"13.64019043767475"
"решение";"одобрить";"153";"92450";"8026";"8.205910929959948";"1042.9976393251745";"14.446748449633136";"12.215293924458589";"13.284249266141657"
"решение";"указать";"212";"92450";"47107";"8.20350505629299";"847.1871987021422";"13.655458171379534";"13.792240467330718";"13.723678908778169"
"решение";"создать";"245";"92450";"71215";"8.188828456347363";"855.2051706743104";"13.676192118548185";"14.572484086455358";"14.117226781873613"
"решение";"возникать";"188";"92450";"35805";"8.167813394762051";"806.523518207089";"13.569359297331498";"13.091444711365416";"13.328260089361537"
"решение";"быть";"7408";"92450";"5022205";"8.155842450473212";"15075.462488826342";"19.647443927003916";"72.21890424592317";"37.66851300013634"
"решение";"определять";"190";"92450";"38896";"8.154580911058646";"788.8775354151901";"13.518301756208245";"13.114225614913122";"13.314730908335745"
"решение";"созреть";"137";"92450";"3732";"8.139130597428679";"1114.27655014414";"14.881119451799831";"11.62901429376795";"13.154951570121744"
"решение";"позволять";"189";"92450";"47882";"8.083127872855965";"708.3399442648304";"13.294622351567694";"12.920978644776586";"13.106469070461948"
"решение";"подтвердить";"149";"92450";"19761";"8.068957180024515";"743.2539648527493";"13.466249576810265";"11.822275610548237";"12.617516155625857"
"решение";"мочь";"1692";"92450";"1181975";"8.068808066265849";"3281.0804575952275";"16.66417853064891";"34.31305221347631";"23.91231540476261"
"решение";"касаться";"186";"92450";"52531";"8.03453587593896";"659.1556428677375";"13.153957506914574";"12.723876475238903";"12.937129916582059"
"решение";"менять";"143";"92450";"20119";"8.024670164871925";"696.9103815618685";"13.324990205873176";"11.558895398423678";"12.410566787004855"
"решение";"участвовать";"157";"92450";"31792";"8.019406430340172";"655.0765603504566";"13.147643687536016";"11.92768188699532";"12.522815636608714"
"решение";"иметь";"632";"92450";"410781";"8.013231986512618";"1297.1659266414051";"14.76672891397348";"21.260931414042957";"17.718758722036803"
"решение";"провести";"199";"92450";"70713";"7.983947025162455";"620.5732873161317";"13.059405999944127";"12.916851695894403";"12.98793326660373"
"решение";"подчиниться";"117";"92450";"3875";"7.979837945863343";"905.40422337079";"14.370097098888511";"10.731616268445963";"12.418307767388441"
"решение";"вызвать";"180";"92450";"55799";"7.979455459975497";"606.6463004561574";"12.995235561891459";"12.429169174722416";"12.709051155146"
"решение";"требоваться";"139";"92450";"22285";"7.977240713266561";"642.2706696413879";"13.13762895029411";"11.341145573933295";"12.206382036525236"
"решение";"мотивировать";"114";"92450";"2445";"7.96881933278342";"982.5484683717787";"14.752671179557204";"10.622720881299593";"12.518526598367277"
"решение";"ускорить";"116";"92450";"5656";"7.952933565903669";"807.6548617299311";"13.966174602025376";"10.645673837261668";"12.193413778241512"
"решение";"переменить";"117";"92450";"8109";"7.936821216454871";"732.7472210456722";"13.631668205731401";"10.638700392228317";"12.04255927479873"
"решение";"поддержать";"125";"92450";"15803";"7.92923455875566";"635.1531738331588";"13.16286237378049";"10.844821336504772";"11.947756723362362"
"решение";"подлежать";"121";"92450";"12387";"7.928775684161192";"664.7385157111001";"13.308845058518713";"10.732696000811814";"11.951560071178484"
"решение";"влиять";"118";"92450";"10184";"7.924907264186765";"687.8616260105493";"13.429356969442443";"10.640239821359526";"11.953726565448683"
"решение";"считать";"275";"92450";"146774";"7.924762647752907";"656.9974803767223";"13.299540261522607";"14.482178449369387";"13.878267736354678"
"решение";"предоставить";"123";"92450";"17708";"7.89566055810495";"593.9255617255137";"13.000657508547912";"10.711527996330178";"11.800716371200144"
"решение";"согласиться";"163";"92450";"54998";"7.885666531135249";"523.7740502399226";"12.712074738785907";"11.744594050749814";"12.218762513030194"
"решение";"откладывать";"108";"92450";"5641";"7.881627509458634";"737.1124817175748";"13.754453283915375";"10.263457277333696";"11.881424310769631"
"решение";"получить";"337";"92450";"215220";"7.876447051917931";"700.9709774297678";"13.526708987585392";"15.574646423778985";"14.514603327648878"
"решение";"помочь";"173";"92450";"67018";"7.866840220938216";"512.1645257489279";"12.69303450076826";"11.94346163595365";"12.312545252861481"
"решение";"отменять";"102";"92450";"2912";"7.852684538610611";"819.888287560085";"14.244199266818928";"10.031062844315857";"11.953428713654443"
"решение";"вступить";"124";"92450";"23639";"7.851316328876376";"531.6534496945285";"12.736067763656921";"10.63162187577262";"11.636367845999773"
"решение";"согласовать";"103";"92450";"4519";"7.845729550011937";"738.874059861981";"13.834017191560319";"10.043196251185186";"11.787185821777394"
"решение";"подготовить";"117";"92450";"18311";"7.840191109583405";"546.0386586382643";"12.817140789534244";"10.4148157041857";"11.553707594430472"
"решение";"основать";"118";"92450";"21848";"7.8172674532085695";"512.5219966189158";"12.666065446526144";"10.385358205783938";"11.469159808812357"
"решение";"добиться";"116";"92450";"20911";"7.808404675886881";"509.7847727015507";"12.658616194314986";"10.30946028028731";"11.423812886190497"
"решение";"определить";"135";"92450";"40106";"7.803661482368293";"465.60857423453024";"12.462419343561";"10.799590584477267";"11.601251079195242"
"решение";"существовать";"188";"92450";"94303";"7.792046976266831";"469.5049068964421";"12.600933843295412";"12.0787137267804";"12.33706093781108"
"решение";"разработать";"110";"92450";"17686";"7.784156301609582";"507.6340320528438";"12.666788688524258";"10.087807199716037";"11.303987001468847"
"решение";"приводить";"133";"92450";"41084";"7.781384902737183";"449.0575736111268";"12.393549590662257";"10.68693547219233";"11.508651734535336"
"решение";"выполнить";"116";"92450";"24755";"7.775057554335222";"472.3569687281762";"12.48986404180626";"10.22474019421655";"11.300690903150853"
"решение";"отказаться";"134";"92450";"43199";"7.773161034363963";"441.82768516037885";"12.365823010319295";"10.690000958909186";"11.497419703481931"
"решение";"обеспечить";"111";"92450";"21460";"7.759513439978321";"472.91731768932596";"12.500520824035004";"10.05214957378239";"11.209688000715335"
"решение";"установить";"138";"92450";"49514";"7.757072082402426";"427.8222888965564";"12.317626554903073";"10.746832337600669";"11.505453810377107"
"решение";"рассматривать";"127";"92450";"39012";"7.7508611515634644";"430.11010957230087";"12.30681292556656";"10.447699152299515";"11.33921862254849"
"решение";"одобрять";"93";"92450";"4738";"7.7413441476762115";"639.3439279217941";"13.480304331023728";"9.527027391203825";"11.332573785483447"
"решение";"подчиняться";"97";"92450";"9260";"7.737977253443686";"546.1703605778875";"12.936549844152614";"9.625676850973536";"11.158989576405434"
"решение";"постановить";"94";"92450";"6232";"7.736784124860625";"596.955078632501";"13.238307995542119";"9.542780448671582";"11.239673781447218"
"решение";"предназначить";"98";"92450";"10578";"7.735358584301615";"528.1905279837151";"12.834247020668482";"9.645852142457896";"11.126421218035427"
"решение";"давать";"278";"92450";"200123";"7.734298807085034";"522.1952717067329";"13.022052120859428";"13.8242390992498";"13.417151787233148"
"решение";"применять";"106";"92450";"19812";"7.727995570549736";"458.4733928438213";"12.442150424910764";"9.838849814478088";"11.064196735409297"
"решение";"заявить";"125";"92450";"40832";"7.721238454571765";"409.0969440234198";"12.213596081485132";"10.31342262658683";"11.223367506180175"
"решение";"приступить";"98";"92450";"13818";"7.704395175027701";"477.14289191364776";"12.567051303245666";"9.568162347311533";"10.965563692599096"
"решение";"следовать";"189";"92450";"112983";"7.702018969925082";"414.2504732084425";"12.43612463756262";"11.796920539468541";"12.11230672366966"
"решение";"последовать";"104";"92450";"20639";"7.701607681389852";"437.88982791374616";"12.344111164897432";"9.717637935844131";"10.95242452337766"
"решение";"передать";"136";"92450";"55702";"7.699808013554156";"388.84508441288085";"12.15606956157737";"10.528111919172204";"11.31284494906251"
"решение";"противоречить";"93";"92450";"9105";"7.697390871087615";"519.0341951749688";"12.82709572358075";"9.419535990640481";"10.99205575966841"
"решение";"подсказать";"90";"92450";"6289";"7.6927215667365";"562.1653760213148";"13.098747892729982";"9.329473706248255";"11.054610985918913"
"решение";"оставить";"181";"92450";"107390";"7.686371886466366";"399.0448956622343";"12.357144983227906";"11.558853789763715";"11.951335997286813"
"решение";"осуществлять";"100";"92450";"18059";"7.685465121960997";"439.1103020133211";"12.359987339794621";"9.57132742282446";"10.876648646119788"
"решение";"потребовать";"101";"92450";"19710";"7.6805859951327875";"428.4965749403357";"12.302356386659703";"9.584334614486538";"10.858632517790264"
"решение";"позволить";"132";"92450";"56440";"7.66498604589672";"367.16106304934715";"12.053348598075052";"10.323035367149178";"11.1546915632171"
"решение";"исходить";"97";"92450";"19473";"7.642291745222594";"406.2739244030149";"12.19322500209126";"9.379527061475597";"10.694236011692272"
"решение";"дать";"327";"92450";"285375";"7.640920947018877";"512.0221229554551";"13.154197365142354";"14.337087159670105";"13.732912077907903"
"решение";"допускать";"98";"92450";"20869";"7.640152529892597";"399.44219833835496";"12.154758589039576";"9.399091129540855";"10.688483692084317"
"решение";"оставаться";"188";"92450";"127909";"7.626575829842219";"370.7275662104265";"12.29612777220669";"11.49691883690444";"11.889810049166762"
